,Essential,IdeaPad,ThinkPad,negative_total,positive_total,text,time
33,0,2,1,0,4,Lenovo Yoga 13 IdeaPad Convertbale Ultrabook (tablet) 13.3″ 1600×900 10 points Touch-Screen Laptop Intel Core ... http://t.co/D7saHGUwSY,Tue Mar 05 07:08:13 +0000 2013
34,0,2,1,0,5,Lenovo Yoga 13 IdeaPad Convertbale Ultrabook (tablet) 13.3″ 1600×900 10 points Touch-Screen Laptop Intel Core ... http://t.co/DsNHG4XJHC,Tue Mar 05 07:08:13 +0000 2013
35,0,2,1,0,5,デスクトップ人気ランキング☆9位☆Lenovo の レノボ H520sシリーズ ブラック 4746-1CJ http://t.co/fJOGPwtDeq,Tue Mar 05 07:08:22 +0000 2013
36,0,2,2,0,5,Lenovo ThinkPad T21 2647-5BU 256MB Memory Ram Upgrade (A-Tech Brand): 256MB PC100 SDRAM SO-DIMM for Lenovo Thi... http://t.co/Ut2unD0Lw1,Tue Mar 05 07:08:43 +0000 2013
37,0,2,2,0,5,Lenovo G580 Core-i5/2GB/500GB/Win7　保証1年付き http://t.co/cjUvfv1tFx,Tue Mar 05 07:09:05 +0000 2013
38,0,2,2,0,5,昨日、久しぶりにthinkpad x201を触ったけど。軽いなー。名機だと思うんだがなー。画面がせまくなって諦めたけど。Cloudをもう少しうまく使えそうなら復帰しようかなー。スペック的には現役だし。,Tue Mar 05 07:10:19 +0000 2013
39,0,2,2,0,5,Think Business... http://t.co/1LsSccN8Pu,Tue Mar 05 07:10:24 +0000 2013
40,0,2,2,0,5,@DroidIndonesia HH android dibawah 2 juta yg bagus selain Lenovo A800 apa ya? Thank's,Tue Mar 05 07:10:26 +0000 2013
41,0,2,2,0,5,レノボ/Lenovo Lenovo G570　43347FJ　(ダークブラウン) [2011年秋冬モデル]のレビューと評価： 高性能低価格PC [商品レビュー] http://t.co/2YszzYqH5b,Tue Mar 05 07:11:34 +0000 2013
42,0,2,2,0,6,Battery for Lenovo/IBM Thinkpad R60 9463 Notebook http://t.co/7PLmu00PUN,Tue Mar 05 07:11:54 +0000 2013
43,0,2,2,0,6,lenovo g580 драйвера windows 7 http://t.co/khr8CkigN0,Tue Mar 05 07:12:15 +0000 2013
44,0,2,2,0,6,Lenovo の 'Lenovo IdeaPad Tablet A1 シリーズ 7.0型ワイドHD液晶 2GB カーボンブラック 2228-3CJ' を Amazon でチェック！ http://t.co/PsfPoN5rMo via @,Tue Mar 05 07:12:44 +0000 2013
45,0,2,2,0,6,IBM ThinkPad R32 Series 512MB Memory Ram Upgrade (A-Tech Brand): 512MB DDR-266 (PC2100) SO-DIMM for IBM ThinkP... http://t.co/fz9PogExtR,Tue Mar 05 07:12:50 +0000 2013
46,0,2,2,0,6,http://t.co/PHpGo90Klu Lenovo g560 драйвера windows 7,Tue Mar 05 07:12:52 +0000 2013
47,0,2,2,0,6,http://t.co/xUxT8EGUB9 Аудио драйвер для lenovo,Tue Mar 05 07:12:53 +0000 2013
48,0,2,2,0,6,http://t.co/MQMmjcBRML Lenovo g565 драйвера скачать,Tue Mar 05 07:12:53 +0000 2013
49,0,2,2,0,6,http://t.co/dIOfYpIBrp Скачать драйвера для леново g560,Tue Mar 05 07:12:54 +0000 2013
50,0,2,2,0,6,http://t.co/2NytPdZLxs Драйвера lenovo g430,Tue Mar 05 07:12:54 +0000 2013
51,0,2,2,0,6,Precis speaking of lenovo ideapad-b549g 53-573136: .DyF http://t.co/8b9kp8GxaE,Tue Mar 05 07:13:05 +0000 2013
52,0,2,2,0,6,http://t.co/AuU3RFMOJW Ideapad s10 3 драйвера,Tue Mar 05 07:13:08 +0000 2013
53,0,2,2,0,6,http://t.co/bp8pmmg6oJ Lenovo g560 драйвера windows 7,Tue Mar 05 07:13:09 +0000 2013
54,0,2,2,0,6,http://t.co/w6Qmbdmoj3 Скачать драйвера для леново g560,Tue Mar 05 07:13:11 +0000 2013
55,0,2,2,0,6,http://t.co/d6Qlyf1dEJ Lenovo v570 драйвера торрент,Tue Mar 05 07:13:13 +0000 2013
56,0,2,2,0,6,http://t.co/37Yps3Fcj5 Драйвера lenovo g430,Tue Mar 05 07:13:18 +0000 2013
57,0,2,2,0,6,http://t.co/4hM52dDxc4 Ideapad s10 3 драйвера,Tue Mar 05 07:13:22 +0000 2013
58,0,2,2,0,6,http://t.co/4pghAKPmes Lenovo g565 драйвера скачать,Tue Mar 05 07:13:25 +0000 2013
59,0,2,2,0,7,rooCASE 4n1 Netbook Carrying Bag with AC Home / DC 12v Car / Airplane Charger for Lenovo IdeaPad U160 0894-55U... http://t.co/nKxBxYdjEn,Tue Mar 05 07:13:26 +0000 2013
60,0,2,2,0,7,http://t.co/BZpHVEY8mJ Скачать драйвер wifi для lenovo,Tue Mar 05 07:13:27 +0000 2013
61,0,2,2,0,7,http://t.co/5TUX8Mg6sB Скачать драйвера для леново g560,Tue Mar 05 07:13:29 +0000 2013
62,0,2,2,0,7,http://t.co/OW5y0ikPcM Драйвера lenovo g430,Tue Mar 05 07:13:30 +0000 2013
63,0,2,2,0,7,http://t.co/XaQRdhLJtg Lenovo v570 драйвера торрент,Tue Mar 05 07:13:31 +0000 2013
64,0,2,2,0,7,lenovo g470 скачать драйвер http://t.co/gXOCmWxygL,Tue Mar 05 07:13:37 +0000 2013
65,0,2,2,0,7,http://t.co/71rYEnIJ8j Lenovo g565 драйвера скачать,Tue Mar 05 07:13:44 +0000 2013
66,0,2,2,0,7,http://t.co/o3lbwxVefW Скачать драйвера для леново g560,Tue Mar 05 07:13:47 +0000 2013
67,0,2,2,0,7,http://t.co/2XJk0QhSjA Драйвера lenovo g430,Tue Mar 05 07:13:48 +0000 2013
68,0,2,2,0,7,http://t.co/JqDodRbmw8 Lenovo v570 драйвера торрент,Tue Mar 05 07:13:50 +0000 2013
69,0,2,2,0,7,http://t.co/MPqswLZ10j Lenovo g560 драйвера windows 7,Tue Mar 05 07:13:57 +0000 2013
70,0,2,2,0,7,Polychromize faulty lenovo ideapad-g924a 57-050813: .sHd,Tue Mar 05 07:14:30 +0000 2013
71,0,2,2,1,7,"RT @reyespiani: Just open it, all I can do with @lenovo, worst after service

 http://t.co/DRzx0wBA0u

#nevahold #openfollow #kyumasita  ...",Tue Mar 05 07:15:37 +0000 2013
72,0,2,2,1,7,Mini Rabbit Plush Screen Duster (Pink or Beige) for Lenovo laptop: Mini Rabbit Plush Screen Duster (Pink or Be... http://t.co/E6x08RFh4M,Tue Mar 05 07:15:53 +0000 2013
73,0,2,2,1,7,Скачать видео драйвера для windows xp lenovo http://t.co/TIWCadPnYD,Tue Mar 05 07:16:09 +0000 2013
74,0,3,2,1,8,Discounted #5: Lenovo IdeaPad Yoga 13 13.3-Inch Convertible Touchscreen Ultrabook (Gray): Lenovo IdeaPad... http://t.co/Mh2xom2BLA Cheap,Tue Mar 05 07:16:30 +0000 2013
75,0,3,2,1,8,Any close upon lenovo ideapad g457 8695-a8u hardback: .PUH http://t.co/qX2aBEqh90,Tue Mar 05 07:16:38 +0000 2013
76,0,3,2,1,8,"A nice offer I found: Call Lenovo on 877-890-5075 and get upto 40% off on ThinkPad and IdeaPad laptops, ThinkCenter, desktops, accessories",Tue Mar 05 07:16:54 +0000 2013
77,0,3,2,1,8,Pwr+ Ac Adapter for Lenovo Ideapad U350 U350-296346u ; U460 U460-08772au U460-08772du U460-08772gu U460-088525... http://t.co/YGcFODruju,Tue Mar 05 07:17:07 +0000 2013
78,0,3,2,1,8,Bong Ah Mai found all 18 lines in the Lenovo Street Hunt! Join and stand to win prizes!  http://t.co/YHjymYp1NA #StreetHuntSG,Tue Mar 05 07:17:15 +0000 2013
79,0,3,2,1,8,Bong Ah Mai ranks #5 in the Lenovo Street Hunt! Join and stand to win prizes!  http://t.co/YHjymYp1NA #StreetHuntSG,Tue Mar 05 07:17:42 +0000 2013
80,0,3,2,1,8,"new gutarin Blog post: キーボードを物色 – HHKB Pro, Kinesys, REALFORCE, Thinkpad Trackpoint, Majestouch http://t.co/BN5jnmk8f6",Tue Mar 05 07:18:05 +0000 2013
81,0,3,2,1,8,Join the Lenovo Street Hunt! Complete the missions and stand to win attractive prizes.  http://t.co/YHjymYp1NA #StreetHuntSG,Tue Mar 05 07:18:08 +0000 2013
82,0,3,2,1,8,An inquire into backward lenovo thinkpad kingdom sl558 6156-2su: .ugY http://t.co/ZX5qUe08Ql,Tue Mar 05 07:18:28 +0000 2013
83,0,3,2,1,8,lenovo скачать драйвера g570 http://t.co/Au7wN0PINV,Tue Mar 05 07:18:28 +0000 2013
84,0,3,2,1,8,@lenovo  vous donne droit à 7% de remise sur tous les systèmes à partir de 800€http://t.co/BhoWybzl2V,Tue Mar 05 07:19:16 +0000 2013
85,0,3,2,1,8,"""how to restore lenovo one key recovery?"" http://t.co/j69ryCJxRf",Tue Mar 05 07:20:57 +0000 2013
86,0,3,2,1,8,"""how to restore lenovo one key recovery?"" http://t.co/1dE1EzCAui",Tue Mar 05 07:20:57 +0000 2013
87,0,3,2,1,8,"@curobuchimegane ネットでよいと思う！メーカーかー。Apple, Lenovo (ThinkPadね), Dell, HPあたりかなー。日本メーカーは無駄なソフトいっぱいインストールされてるからあまりオススメできない。",Tue Mar 05 07:21:17 +0000 2013
88,0,3,2,1,8,DS Miller Inc. Equivalent of LENOVO - IBM 365X Laptop AC Adapter: 16 to 19-Volt 90-Watt Laptop AC Adapter (Mul... http://t.co/iZxVf7EE2A,Tue Mar 05 07:21:37 +0000 2013
89,0,3,2,1,8,"Lenovo iDeaphone A690 - Black brought by Satxxxx from Salem MRP: Rs. 8,469/- Offer Price: Rs. 6,875/-,http://t.co/1SWquKu5IN",Tue Mar 05 07:22:55 +0000 2013
90,0,3,2,1,8,"""IdeaPad""ตระกูลZเฉียบชวนพกพา http://t.co/8aoiMmuzp7",Tue Mar 05 07:23:43 +0000 2013
91,0,3,2,1,10,"@krohntraaseth Dagen etter at ThinkPad'en min tok kvelden, så står HP Tech Tour parkert utenfor kontoret! Spooky! http://t.co/PEbz6e5QDv",Tue Mar 05 07:23:53 +0000 2013
92,0,3,2,1,10,"Bluetooth not working, wifi not working, my 3G dongle not working. Never again will I buy a Lenovo laptop, things are crap",Tue Mar 05 07:23:57 +0000 2013
93,0,3,2,1,10,DS Miller Inc. Equivalent of LENOVO - IBM X200-7458 Laptop AC Adapter: 16 to 19-Volt 90-Watt Laptop AC Adapter... http://t.co/xxzeyGDKn0,Tue Mar 05 07:26:43 +0000 2013
94,0,3,2,1,10,Lenovo H505s(AMD デュアルコア・プロセッサE-450/4G/500GB(7200rpm)/DVDスーパーマルチドライブ/APなし/Win8(64bit)) ブラック 3230-1AJ: http://t.co/AF7tgja1Hp #Amazon #PC,Tue Mar 05 07:27:55 +0000 2013
95,0,3,2,1,10,"""IdeaPad""ตระกูลZเฉียบชวนพกพา http://t.co/hpqUkk6vZk",Tue Mar 05 07:28:02 +0000 2013
96,0,3,2,1,10,"""IdeaPad""ตระกูลZเฉียบชวนพกพา http://t.co/8LSHqGjFmC",Tue Mar 05 07:28:33 +0000 2013
97,0,3,2,1,10,"Lenovo IBM Thinkpad T400 2769 CTO Battery 58Wh, 5200mAh: 6 Cell Lenovo IBM Thinkpad T400 2769 CTO 11.1V 5200mA... http://t.co/Q8YQKSf61t",Tue Mar 05 07:28:41 +0000 2013
98,0,3,2,1,10,miim Women's Tote Bag (Brown) for Lenovo G575 43835GU 15.6-Inch Laptop / Free Gift Pouch Fast Shipping | Apple Ipad http://t.co/rEi44ftliJ,Tue Mar 05 07:28:53 +0000 2013
99,0,3,2,1,10,"Со следующей #ЗП куплю себе его 
http://t.co/Plevq6AyFx",Tue Mar 05 07:29:20 +0000 2013
100,0,3,2,1,10,ドトールで勉強してんだけど、隣の人が左手でThinkPadあやつって右手で3DSのドラクエやってる((((；ﾟДﾟ))))))),Tue Mar 05 07:29:20 +0000 2013
101,0,3,2,1,10,Green Durable Neoprene Sleeve Carrying Case for Lenovo K1 Ideapad 130422U 10.1-Inch Tablet: Product Details Se... http://t.co/OusSuqnZIJ,Tue Mar 05 07:29:21 +0000 2013
102,0,3,2,1,10,ขอไฟล์&amp;nbsp;&amp;nbsp;bios lenovo g480 หน่อยครับ http://t.co/WQ4G7Ug4tI,Tue Mar 05 07:29:35 +0000 2013
103,0,5,2,1,11,#5: Lenovo IdeaPad Yoga 13 13.3-Inch Convertible Touchscreen Ultrabook (Gray): Lenovo IdeaPad Yoga 13 13.3-Inc... http://t.co/n1G9GtD5nE,Tue Mar 05 07:30:46 +0000 2013
104,0,5,2,1,11,Lenovo G580買ってメモリ８GBにしてSSDくっつけたらくっそ快適な気がしてきた,Tue Mar 05 07:30:57 +0000 2013
105,0,5,4,1,11,IBM ThinkPad X40 X41 Battery - 92P1080: New Replacement IBM ThinkPad X40 X41 Battery - 92P1080Specification:Ce... http://t.co/IB1F2NihfF,Tue Mar 05 07:31:01 +0000 2013
106,0,5,4,1,11,DS Miller Inc. Equivalent of LENOVO - IBM 40Y8321 Laptop Battery: 11.1-Volt 5000mAh LiIon Laptop Battery. Our ... http://t.co/HrKlMhNoDk,Tue Mar 05 07:31:14 +0000 2013
107,0,5,4,1,11,Скачать lenovo s10 2 драйвер http://t.co/Fedwf3yHZA,Tue Mar 05 07:31:22 +0000 2013
108,0,5,4,1,11,"@buddyxo Eek! Hang in there! I had a funeral for my last tablet. The neighbors stared, but I didn't care. Poor 'ol Lenny the Lenovo...",Tue Mar 05 07:31:26 +0000 2013
109,0,5,5,1,11,ThinkPad X220のHDDはSeagate製だったな。7200rpmかは知らんけど。,Tue Mar 05 07:31:47 +0000 2013
110,0,6,5,1,11,Lenovo IdeaPad Yoga 13:  A full-time laptop meets a part-time tablet http://t.co/b00fQgO9hD via @CNET,Tue Mar 05 07:32:11 +0000 2013
111,0,6,5,1,11,"Semakin membulatkan tekad ntk membeli Lenovo S560. Suaranya ""dolby"" broooo! Kamera belakang 5MP+autofocus pulak! Aaaak! *semoga turun harga*",Tue Mar 05 07:32:44 +0000 2013
112,0,7,5,1,12,#5: Lenovo IdeaPad Yoga 13 13.3-Inch Convertible Touchscreen Ultrabook (Gray) http://t.co/MiXF6YWtZS,Tue Mar 05 07:32:53 +0000 2013
113,0,7,5,1,12,Lenovo Ibm Thinkpad T500-2088 Ac Adapter 0mAh (Replacement): Lenovo Ibm Thinkpad T500-2088 Ac Adapter (Replace... http://t.co/bWFF9UAvnv,Tue Mar 05 07:33:08 +0000 2013
114,0,7,5,1,12,価格.com - Lenovo Lenovo G580 2189DCJ 価格比較 http://t.co/WkekNApnw1 @kakakucomさんから,Tue Mar 05 07:33:21 +0000 2013
115,0,7,5,1,14,"Battery for Lenovo/IBM Thinkpad T60P 1956 Notebook: 9 Cells, 7.2Ah Battery for Lenovo/IBM Thinkpad T60P 1956 Notebook http://t.co/4ELMWhHrqF",Tue Mar 05 07:33:47 +0000 2013
116,0,7,5,1,14,"""IdeaPad""ตระกูลZเฉียบชวนพกพา http://t.co/Rw5REgNZ73",Tue Mar 05 07:34:00 +0000 2013
117,0,7,5,1,14,DS Miller Inc. Equivalent of LENOVO - IBM THINKPAD A21 Laptop Battery: 11.1-Volt 5400mAh LiIon Laptop Battery.... http://t.co/plCDsb5KIw,Tue Mar 05 07:34:11 +0000 2013
118,0,8,5,1,14,LENOVO IdeaPad Y570 - Intel Core i7 http://t.co/kGHLfEAdwF,Tue Mar 05 07:34:38 +0000 2013
119,0,8,5,1,14,Lenovo - http://t.co/gjcJFvAops http://t.co/FQiiik6WR5,Tue Mar 05 07:34:46 +0000 2013
120,0,8,5,1,14,มาลงวินโดว์ให้ลูกค้า โห ยากสุดๆเลยยี่ห้อเนี่ย Lenovo,Tue Mar 05 07:35:01 +0000 2013
121,0,8,5,1,14,"#6: 【送料無料】lenovo ThinkPad Edge E430：第3世代インテル Core i5プロセッサー、大容量メモリ搭載バリューパッケージ(3254CTO) (メモリ8GB：液晶光沢なし：ブラック,... http://t.co/M3ds7h9sFy",Tue Mar 05 07:37:01 +0000 2013
122,0,8,5,1,14,"RT @TonyRAnderson: Finally got that Yoga. Its true what they say: The love is instantaneous and unconditional
#Lenovo #Yoga… http://t.co ...",Tue Mar 05 07:37:41 +0000 2013
123,0,8,5,1,14,@tenzingumo Lenovo「ドック買え」,Tue Mar 05 07:37:53 +0000 2013
124,0,10,5,1,15,#5: Lenovo IdeaPad Yoga 13 13.3-Inch Convertible Touchscreen Ultrabook (Gray): Lenovo IdeaPad Yoga 13 13.3-Inc... http://t.co/34em9VPdLT,Tue Mar 05 07:38:20 +0000 2013
125,0,10,5,1,18,"Dijual notebook lenovo, S10, Ram 1 GB, hardisk 2.5, webcam, bloototh, wifi, processor intel atom, windows7, pokoknya masih baru&amp;lengkap !!",Tue Mar 05 07:38:25 +0000 2013
126,0,10,5,1,18,"【4F 中古】中古品なのに、なんと「2015/4/1」までのメーカー保証がついた驚きの商品が入荷！
「Lenovo ThinkCentre M71e Small」今ご購入いただければ、なんと2年以上も保証がついてくるんです！
http://t.co/ZWlcuUXR0A",Tue Mar 05 07:38:41 +0000 2013
127,0,10,5,1,18,Lenovo ThinkPad R61 1GB Memory Ram Upgrade (A-Tech Brand): 1GB DDR2-667 (PC2-5300) SO-DIMM for Lenovo ThinkPad R61 http://t.co/JRHUxPkg3u,Tue Mar 05 07:39:16 +0000 2013
128,0,10,5,1,18,RT @motorcyrubjang: มาลงวินโดว์ให้ลูกค้า โห ยากสุดๆเลยยี่ห้อเนี่ย Lenovo,Tue Mar 05 07:40:05 +0000 2013
129,0,10,5,1,18,@robbyakmal pake lenovo by kenapa?,Tue Mar 05 07:40:11 +0000 2013
130,0,10,5,1,18,次はAcerですかね～、LenovoのThinkpad欲しいなぁ,Tue Mar 05 07:40:13 +0000 2013
131,0,10,5,1,18,@DJ_Raden lenovo tipe apa? ome ane ilangg kiii :(,Tue Mar 05 07:40:50 +0000 2013
132,0,10,5,1,18,ThinkPad,Tue Mar 05 07:41:03 +0000 2013
133,0,10,5,1,19,@robincapper You ok? not seen you on here for a while. Have you considered Lenovo Thinkpad tablets? http://t.co/oOTpoNC9nd Tempting IMO.,Tue Mar 05 07:41:05 +0000 2013
134,0,10,5,1,19,"""IdeaPad""ตระกูลZเฉียบชวนพกพา http://t.co/beD1LWmBwI #IT2day",Tue Mar 05 07:42:20 +0000 2013
135,0,10,5,1,19,ThinkPadが凄く好きなので、今のが壊れてもきっとThinkPadに買い換えると思う,Tue Mar 05 07:42:35 +0000 2013
136,0,10,5,1,19,@yamu_RN 今のところ似たようなハードだとLENOVOのThinkVisionが発表されてますが、こちらはタブ部のスペックがちょっと低いんですよね。対して13HDはタブ部のスペックがintuos並に上がってるかと。仮で出てるお値段では倍ぐらい差がありますがｗ,Tue Mar 05 07:43:02 +0000 2013
137,0,10,5,1,21,Lenovo ThinkPad Edge 14 Refurbished Notebook: The black Lenovo ThinkPad Edge 14 0578-XF8 Refurbished Notebook ... http://t.co/9oD4wYjDNA,Tue Mar 05 07:43:22 +0000 2013
138,0,10,5,1,21,Срочно продам Двух Ядерный Lenovo A789 +Чехол +Плёнка. Новый. Вналичии. По Украине http://t.co/MKars5ON7v,Tue Mar 05 07:43:58 +0000 2013
139,0,10,5,1,21,LenovoのThinkVisionは3～5万位で、Cintiq13HDは11～12万ほどの値段らしいけど、どちらもまだ予想価格の範疇だから実際どの程度になるやら。,Tue Mar 05 07:45:10 +0000 2013
140,0,10,5,1,22,TIPP ! Sie sind ständig unterwegs? Dann brauchen Sie ein vielseitiges Tablet oder ein Notebook von Lenovo ! =&gt; http://t.co/vsWiilhNFO,Tue Mar 05 07:45:40 +0000 2013
141,0,10,5,1,22,"YES , LENOVO I3 -2 - 320  ONLY 2777  L.E http://t.co/dBgXPxi07c",Tue Mar 05 07:46:09 +0000 2013
142,1,10,5,1,22,Sales Sales Sales  Hard Wearing Laptop ThinkPad Essential DURAGADGET http://t.co/HAid1Ydf1z: Hot new release,Tue Mar 05 07:47:32 +0000 2013
143,1,10,5,1,23,"Berapa harga  ? RT @qqamellia: Dijual notebook lenovo, S10, Ram 1 GB, hardisk 2.5, webcam, (cont) http://t.co/Y2EzqOC0af",Tue Mar 05 07:47:35 +0000 2013
144,1,10,5,1,23,Lenovo ThinkPad R52 1861-xxx 1GB Memory Ram Upgrade (A-Tech Brand): 1GB DDR2-533 (PC2-4200) SO-DIMM for Lenovo... http://t.co/bN49gf1HWu,Tue Mar 05 07:47:38 +0000 2013
145,1,10,5,1,23,RT @tikasitu: LenovoのThinkVisionは3～5万位で、Cintiq13HDは11～12万ほどの値段らしいけど、どちらもまだ予想価格の範疇だから実際どの程度になるやら。,Tue Mar 05 07:48:12 +0000 2013
146,1,10,5,1,23,8GB 2 X 4GB DDR3 SODIMM 1066MHz PC3-8500 204 pin Lenovo ThinkPad G460 G560 L410 L510 R400 R500 SL410 SL510 Lap... http://t.co/76pqS3Tzva,Tue Mar 05 07:48:21 +0000 2013
147,1,10,5,1,23,8GB 2 X 4GB DDR3 SODIMM 1066MHz PC3-8500 204 pin Lenovo ThinkPad G460 G560 L410 L510 R400 R500 SL410 SL510 Lap... http://t.co/TBRoCI7xft,Tue Mar 05 07:48:22 +0000 2013
148,1,10,5,1,23,ThinkPad欲しい（中古やけどな,Tue Mar 05 07:49:32 +0000 2013
149,1,10,5,1,23,Скачать lenovo g570 драйвера на xp http://t.co/jCVx7031EI,Tue Mar 05 07:51:03 +0000 2013
150,1,10,5,1,23,@totesrootyou buy me a lenovo yoga and i'll trade you my imac,Tue Mar 05 07:51:09 +0000 2013
